Codebook vartype=0 if continuous; 1 if categorical and 2 if ordinal,,,,,,,yellow=vars that have no relationship with re-education (weights etc.)
,storage,display,value,,,,red=vars to do with current studying 
arwh22,float,%9.0g,ANUM,DV: Replicate weight 22 - Household population weight,0,0,
arwh23,float,%9.0g,ANUM,DV: Replicate weight 23 - Household population weight,0,0,
arwh24,float,%9.0g,ANUM,DV: Replicate weight 24 - Household population weight,0,0,
arwh25,float,%9.0g,ANUM,DV: Replicate weight 25 - Household population weight,0,0,
arwh26,float,%9.0g,ANUM,DV: Replicate weight 26 - Household population weight,0,0,
arwh27,float,%9.0g,ANUM,DV: Replicate weight 27 - Household population weight,0,0,
arwh28,float,%9.0g,ANUM,DV: Replicate weight 28 - Household population weight,0,0,
arwh29,float,%9.0g,ANUM,DV: Replicate weight 29 - Household population weight,0,0,
arwh30,float,%9.0g,ANUM,DV: Replicate weight 30 - Household population weight,0,0,
arwh31,float,%9.0g,ANUM,DV: Replicate weight 31 - Household population weight,0,0,
arwh32,float,%9.0g,ANUM,DV: Replicate weight 32 - Household population weight,0,0,
arwh33,float,%9.0g,ANUM,DV: Replicate weight 33 - Household population weight,0,0,
arwh34,float,%9.0g,ANUM,DV: Replicate weight 34 - Household population weight,0,0,
arwh35,float,%9.0g,ANUM,DV: Replicate weight 35 - Household population weight,0,0,
arwh36,float,%9.0g,ANUM,DV: Replicate weight 36 - Household population weight,0,0,
arwh37,float,%9.0g,ANUM,DV: Replicate weight 37 - Household population weight,0,0,
arwh38,float,%9.0g,ANUM,DV: Replicate weight 38 - Household population weight,0,0,
arwh39,float,%9.0g,ANUM,DV: Replicate weight 39 - Household population weight,0,0,
arwh40,float,%9.0g,ANUM,DV: Replicate weight 40 - Household population weight,0,0,
arwh41,float,%9.0g,ANUM,DV: Replicate weight 41 - Household population weight,0,0,
arwh42,float,%9.0g,ANUM,DV: Replicate weight 42 - Household population weight,0,0,
arwh43,float,%9.0g,ANUM,DV: Replicate weight 43 - Household population weight,0,0,
arwh44,float,%9.0g,ANUM,DV: Replicate weight 44 - Household population weight,0,0,
arwh45,float,%9.0g,ANUM,DV: Replicate weight 45 - Household population weight,0,0,
ahhwths,double,%12.0g,ANUM,DV: Household sample weight,0,0,
ahhtype,byte,%56.0g,AHHTYPE,DV: Household type,1,,
ahhrih01,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 01",1,,
ahhrih02,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 02",1,,
ahhrih03,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 03",1,,
ahhrih04,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 04",1,,
ahhrih05,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 05",1,,
ahhrih06,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 06",1,,
ahhrih07,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 07",1,,
ahhrih08,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 08",1,,
ahhrih09,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 09",1,,
ahhrih10,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 10",1,,
ahhrih11,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 11",1,,
ahhrih12,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 12",1,,
ahhrih13,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 13",1,,
ahhrih14,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 14",1,,
ahhrih15,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 15",1,,
ahhrih16,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 16",1,,
ahhrih17,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 17",1,,
ahhrih18,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 18",1,,
ahhrih19,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 19",1,,
ahhrih20,byte,%47.0g,AHHRIH,"DV: Relationship in household, person 20",1,,
ahhfam01,byte,%40.0g,AHHFAM,DV: Family number person 01,1,,
ahhfam02,byte,%40.0g,AHHFAM,DV: Family number person 02,1,,
ahhfam03,byte,%40.0g,AHHFAM,DV: Family number person 03,1,,
ahhfam04,byte,%40.0g,AHHFAM,DV: Family number person 04,1,,
ahhfam05,byte,%40.0g,AHHFAM,DV: Family number person 05,1,,
ahhfam06,byte,%40.0g,AHHFAM,DV: Family number person 06,1,,
ahhfam07,byte,%40.0g,AHHFAM,DV: Family number person 07,1,,
ahhfam08,byte,%40.0g,AHHFAM,DV: Family number person 08,1,,
ahhfam09,byte,%40.0g,AHHFAM,DV: Family number person 09,1,,
ahhfam10,byte,%40.0g,AHHFAM,DV: Family number person 10,1,,
ahhfam11,byte,%40.0g,AHHFAM,DV: Family number person 11,1,,
ahhfam12,byte,%40.0g,AHHFAM,DV: Family number person 12,1,,
ahhfam13,byte,%40.0g,AHHFAM,DV: Family number person 13,1,,
ahhfam14,byte,%40.0g,AHHFAM,DV: Family number person 14,1,,
ahhfam15,byte,%40.0g,AHHFAM,DV: Family number person 15,1,,
ahhfam16,byte,%40.0g,AHHFAM,DV: Family number person 16,1,,
ahhfam17,byte,%40.0g,AHHFAM,DV: Family number person 17,1,,
ahhfam18,byte,%40.0g,AHHFAM,DV: Family number person 18,1,,
ahhfam19,byte,%40.0g,AHHFAM,DV: Family number person 19,1,,
ahhfam20,byte,%40.0g,AHHFAM,DV: Family number person 20,1,,
ahhfty01,byte,%56.0g,AHHFTY,DV: Family type of person 01,1,,
ahhfty02,byte,%56.0g,AHHFTY,DV: Family type of person 02,1,,
ahhfty03,byte,%56.0g,AHHFTY,DV: Family type of person 03,1,,
ahhfty04,byte,%56.0g,AHHFTY,DV: Family type of person 04,1,,
ahhfty05,byte,%56.0g,AHHFTY,DV: Family type of person 05,1,,
ahhfty06,byte,%56.0g,AHHFTY,DV: Family type of person 06,1,,
ahhfty07,byte,%56.0g,AHHFTY,DV: Family type of person 07,1,,
ahhfty08,byte,%56.0g,AHHFTY,DV: Family type of person 08,1,,
ahhfty09,byte,%56.0g,AHHFTY,DV: Family type of person 09,1,,
ahhfty10,byte,%56.0g,AHHFTY,DV: Family type of person 10,1,,
ahhfty11,byte,%56.0g,AHHFTY,DV: Family type of person 11,1,,
ahhfty12,byte,%56.0g,AHHFTY,DV: Family type of person 12,1,,
ahhfty13,byte,%56.0g,AHHFTY,DV: Family type of person 13,1,,
ahhfty14,byte,%56.0g,AHHFTY,DV: Family type of person 14,1,,
ahhfty15,byte,%56.0g,AHHFTY,DV: Family type of person 15,1,,
ahhfty16,byte,%56.0g,AHHFTY,DV: Family type of person 16,1,,
ahhinthq,int,%30.0g,ANUM,HQ interviewer number,1,0,
ahgagf1,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 01,1,0,
ahgagf2,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 02,1,0,
ahgagf3,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 03,1,0,
ahgagf4,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 04,1,0,
ahgagf5,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 05,1,0,
ahgagf6,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 06,1,0,
ahgagf7,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 07,1,0,
ahgagf8,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 08,1,0,
ahgagf9,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 09,1,0,
ahgagf10,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 10,1,0,
ahgagf11,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 11,1,0,
ahgagf12,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 12,1,0,
ahgagf13,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 13,1,0,
ahgagf14,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 14,1,0,
ahgagf15,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 15,1,0,
ahgagf16,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 16,1,0,
ahgagf17,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 17,1,0,
ahgagf18,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 18,1,0,
ahgagf19,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 19,1,0,
ahgagf20,byte,%30.0g,AIMPFLG,DV: Imputed age flag - person 20,1,0,
ahhfty17,byte,%56.0g,AHHFTY,DV: Family type of person 17,1,,
ahhfty18,byte,%56.0g,AHHFTY,DV: Family type of person 18,1,,
ahhfty19,byte,%56.0g,AHHFTY,DV: Family type of person 19,1,,
ahhfty20,byte,%56.0g,AHHFTY,DV: Family type of person 20,1,,
ahhiu01,byte,%30.0g,ANUM,DV: Income unit of person 01,1,,
ahhiu02,byte,%30.0g,ANUM,DV: Income unit of person 02,1,,
ahhiu03,byte,%30.0g,ANUM,DV: Income unit of person 03,1,,
ahhiu04,byte,%30.0g,ANUM,DV: Income unit of person 04,1,,
ahhiu05,byte,%30.0g,ANUM,DV: Income unit of person 05,1,,
ahhiu06,byte,%30.0g,ANUM,DV: Income unit of person 06,1,,
ahhiu07,byte,%30.0g,ANUM,DV: Income unit of person 07,1,,
ahhiu08,byte,%30.0g,ANUM,DV: Income unit of person 08,1,,
ahhiu09,byte,%30.0g,ANUM,DV: Income unit of person 09,1,,
ahhiu10,byte,%30.0g,ANUM,DV: Income unit of person 10,1,,
ahhiu11,byte,%30.0g,ANUM,DV: Income unit of person 11,1,,
ahhiu12,byte,%30.0g,ANUM,DV: Income unit of person 12,1,,
ahhiu13,byte,%30.0g,ANUM,DV: Income unit of person 13,1,,
ahhiu14,byte,%30.0g,ANUM,DV: Income unit of person 14,1,,
ahhiu15,byte,%30.0g,ANUM,DV: Income unit of person 15,1,,
ahhiu16,byte,%30.0g,ANUM,DV: Income unit of person 16,1,,
ahhiu17,byte,%30.0g,ANUM,DV: Income unit of person 17,1,,
ahhiu18,byte,%30.0g,ANUM,DV: Income unit of person 18,1,,
ahhiu19,byte,%30.0g,ANUM,DV: Income unit of person 19,1,,
ahhiu20,byte,%30.0g,ANUM,DV: Income unit of person 20,1,,
abnftaf1,int,%30.0g,ANUM,DV: Family number 1 Family Tax Benefit A ($) financial year [estimated],0,,
abnftaf2,int,%30.0g,ANUM,DV: Family number 2 Family Tax Benefit A ($) financial year [estimated],0,,
abnftaf3,byte,%30.0g,ANUM,DV: Family number 3 Family Tax Benefit A ($) financial year [estimated],0,,
abnftbf1,int,%30.0g,ANUM,DV: Family number 1 Family Tax Benefit B ($) financial year [estimated],0,,
abnftbf2,int,%30.0g,ANUM,DV: Family number 2 Family Tax Benefit B ($) financial year [estimated],0,,
abnftbf3,byte,%30.0g,ANUM,DV: Family number 3 Family Tax Benefit B ($) financial year [estimated],0,,
abnmatf1,int,%30.0g,ANUM,DV: Family number 1 Maternity Payments ($) financial year [estimated],0,,
abnmatf2,int,%30.0g,ANUM,DV: Family number 2 Maternity Payments ($) financial year [estimated],0,,
abnmatf3,byte,%30.0g,ANUM,DV: Family number 3 Maternity Payments ($) financial year [estimated],0,,
ahifftb,int,%30.0g,ANUM,DV: Household Family Tax Benefit (FTB-A and FTB-B) ($) financial year [estimated,0,,
ahifmat,int,%30.0g,ANUM,DV: Household Maternity Payments ($) financial year [estimated],0,,
ahiffama,int,%30.0g,ANUM,DV: Household Australian Government Family Payments ($) financial year [estimate,0,,
ahiwscei,int,%30.0g,ANUM,DV: Household current weekly gross wages & salary - all jobs ($) [imputed] [weig,0,,
ahiwscoi,int,%30.0g,ANUM,DV: Household current weekly gross wages & salary - other jobs ($) [imputed],0,,
ahiwscmi,int,%30.0g,ANUM,DV: Household current weekly gross wages & salary - main job ($) [imputed],0,,
ahiwsfei,long,%30.0g,ANUM,DV: Household financial year gross wages & salary ($) [imputed] [weighted topcod,0,,
ahibifip,long,%30.0g,ANUM,DV: Household financial year business income ($) [imputed] Positive values [weig,0,,
ahibifin,long,%30.0g,ANUM,DV: Household financial year business income ($) [imputed] Negative values,0,,
ahifinip,long,%30.0g,ANUM,DV: Household financial year investments ($) [imputed] Positive values [weighted,0,,
ahifinin,long,%30.0g,ANUM,DV: Household financial year investments ($) [imputed] Negative values,0,,
ahifppi,long,%30.0g,ANUM,DV: Household financial year regular private pensions ($) [imputed],0,,
ahifpti,long,%30.0g,ANUM,DV: Household financial year regular private transfers ($) [imputed],0,,
ahiffpi,int,%30.0g,ANUM,DV: Household financial year foreign pensions ($) [imputed],0,,
ahifmkip,long,%30.0g,ANUM,DV: Household financial year regular market income ($) [imputed] Positive values,0,,
ahifmkin,long,%30.0g,ANUM,DV: Household financial year regular market income ($) [imputed] Negative values,0,,
ahifpiip,long,%30.0g,ANUM,DV: Household financial year regular private income ($) [imputed] Positive value,0,,
ahifpiin,long,%30.0g,ANUM,DV: Household financial year regular private income ($) [imputed] Negative value,0,,
ahifefp,long,%30.0g,ANUM,DV: Household financial year gross regular income ($) [imputed] Positive values,0,,
ahifefn,long,%30.0g,ANUM,DV: Household financial year gross regular income ($) [imputed] Negative values,0,,
ahifwfli,long,%30.0g,ANUM,DV: Household financial year irregular income [imputed] ($),0,,
ahiftaxp,long,%30.0g,ANUM,DV: Household financial year estimated taxes on regular income ($) Positive valu,0,,
ahiftaxn,int,%30.0g,ANUM,DV: Household financial year estimated taxes on regular income ($) Negative valu,0,,
ahifdip,long,%30.0g,ANUM,DV: Household financial year disposable regular income ($) [imputed] Positive va,0,,
ahifdin,long,%30.0g,ANUM,DV: Household financial year disposable regular income ($) [imputed] Negative va,0,,
ahiwscef,byte,%30.0g,AIMPFLG,DV: Imputation flag household current weekly gross wages & salary - all jobs,1,,
ahiwscof,byte,%30.0g,AIMPFLG,DV: Imputation flag household current weekly gross wages & salary - other jobs,1,,
ahiwscmf,byte,%30.0g,AIMPFLG,DV: Imputation flag household current weekly gross wages & salary - main job,1,,
ahiwsfef,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year gross wages & salary,1,,
ahibiff,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year business income,1,,
ahifinf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year investments,1,,
ahifppf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year regular private pensions,1,,
ahifptf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year regular private transfers,1,,
ahiffpf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year foreign pensions,1,,
ahifmktf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year regular market (factor) income,1,,
ahifpif,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year regular private income,1,,
ahifeff,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year gross regular income,1,,
ahifdif,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year disposable regular income,1,,
ahifwflf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year irregular income,1,,
ahicpeni,int,%30.0g,ANUM,DV: Household current Australian Government Pensions ($) [imputed],0,,
ahicpari,int,%30.0g,ANUM,DV: Household current Australian Government Parenting Payment ($) [imputed],0,,
ahicalli,int,%30.0g,ANUM,DV: Household current Australian Government Allowances ($) [imputed],0,,
ahiconii,int,%30.0g,ANUM,DV: Household current Australian Government Non-income support other than family,0,,
ahicobi,int,%30.0g,ANUM,DV: Household current Australian Government Other benefits NEI to classify [impu,0,,
ahifpeni,long,%30.0g,ANUM,DV: Household financial year Australian Government Pensions ($) [imputed],0,,
ahifpari,long,%30.0g,ANUM,DV: Household financial year Australian Government Parenting Payment ($) [impute,0,,
ahifalli,int,%30.0g,ANUM,DV: Household financial year Australian Government Allowances ($) [imputed],0,,
ahifonii,int,%30.0g,ANUM,DV: Household financial year Australian Government Non-income support other than,0,,
ahifobi,int,%30.0g,ANUM,DV: Household financial year Australian Government Other benefits NEI to classif,0,,
ahifrpi,long,%30.0g,ANUM,DV: Household financial year Other regular public including scholarships ($) [im,0,,
ahicisi,int,%30.0g,ANUM,DV: Household current weekly Australian Government income support payments ($) [,0,,
ahicisf,byte,%30.0g,AIMPFLG,DV: Imputation flag household current weekly Australian Government income suppor,1,,
ahicnisi,int,%30.0g,ANUM,DV: Household current weekly Australian Government non-income support payments (,0,,
ahicnisf,byte,%30.0g,AIMPFLG,DV: Imputation flag household current weekly Australian Government non-income su,1,,
ahicapi,int,%30.0g,ANUM,DV: Household current weekly Australian public transfers ($) [imputed],0,,
ahicapf,byte,%30.0g,AIMPFLG,DV: Imputation flag household current Australian public transfers,1,,
ahifisi,long,%30.0g,ANUM,DV: Household financial year Australian Government income support payments ($) [,0,,
ahifisf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Australian Government income suppor,1,,
ahifnisi,int,%30.0g,ANUM,DV: Household financial year Australian Government non-income support payments (,0,,
ahifnisf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Australian Government non-income su,1,,
ahifapti,long,%30.0g,ANUM,DV: Household financial year Australian public transfers (inc family benefits) (,0,,
ahifaptf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Australian public transfers,1,,
ahifpenf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Australian Government Pensions,1,,
ahifparf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Australian Government Parenting Pay,1,,
ahifallf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Australian Government Allowances,1,,
ahifonif,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Australian Government Non-income su,1,,
ahifobf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Australian Government Other benefit,1,,
ahifrpf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year Other regular public including scho,1,,
ahicpenf,byte,%30.0g,AIMPFLG,DV: Imputation flag household current Australian Government Pensions,1,,
ahicparf,byte,%30.0g,AIMPFLG,DV: Imputation flag household current Australian Government Parenting Payment,1,,
ahicallf,byte,%30.0g,AIMPFLG,DV: Imputation flag household current Australian Government Allowances,1,,
ahiconif,byte,%30.0g,AIMPFLG,DV: Imputation flag household current Australian Government Non-income support o,1,,
ahicobf,byte,%30.0g,AIMPFLG,DV: Imputation flag household current Australian Government Other benefits NEI t,1,,
ahifeftp,long,%30.0g,ANUM,DV: Household financial year gross total income ($) [imputed] Positive values [w,0,,
ahifeftn,long,%30.0g,ANUM,DV: Household financial year gross total income ($) [imputed] Negative values,0,,
ahifditp,long,%30.0g,ANUM,DV: Household financial year disposable total income ($) [imputed] Positive valu,0,,
ahifditn,long,%30.0g,ANUM,DV: Household financial year disposable total income ($) [imputed] Negative valu,0,,
ahifditf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year disposable total income,1,,
ahifeftf,byte,%30.0g,AIMPFLG,DV: Imputation flag household financial year gross total income,1,,
ahiftxtp,long,%30.0g,ANUM,DV: Household financial year estimated taxes on total income ($) Positive values,0,,
ahiftxtn,int,%30.0g,ANUM,DV: Household financial year estimated taxes on total income ($) Negative values,0,,
ahgage,byte,%30.0g,AHGAGE,DV: Age last birthday at June 30 2001,0,,
ahgsex,byte,%30.0g,ASEX,HF3 Sex,1,,
ahgagef,byte,%30.0g,AIMPFLG,DV: Imputed age flag,1,,
ahgfpt,byte,%64.0g,AHGFPT,HF5a Lives here full or part time,1,,
ahgtih,byte,%30.0g,AHGTIH,HF5b Amount of time spent living here,2,,
ahgeng,byte,%51.0g,AHGENG,HF6a English is the only language spoken,1,,
ahgeab,byte,%30.0g,AANEAB,HF6b How well speaks English,2,,
ahglth,byte,%30.0g,AYESNO,"HF7 Long term health condition, disability or impairment on Household Form, answ",1,,
ahgms,byte,%64.0g,AHGMS,HF8 Living circumstances,1,,
ahges,byte,%56.0g,AHGES,"HF9 Employment status on Household Form, answered by one person in household",1,,
ahgivw,byte,%57.0g,AHGIVW,HF10 Overall individual interview outcome,1,,
arg01,byte,%50.0g,ARG,HF12 Relationship of self to person 01 ie 01 is self's ...,1,,
arg02,byte,%50.0g,ARG,HF12 Relationship of self to person 02 ie 02 is self's ...,1,,
arg03,byte,%50.0g,ARG,HF12 Relationship of self to person 03 ie 03 is self's ...,1,,
arg04,byte,%50.0g,ARG,HF12 Relationship of self to person 04 ie 04 is self's ...,1,,
arg05,byte,%50.0g,ARG,HF12 Relationship of self to person 05 ie 05 is self's ...,1,,
arg06,byte,%50.0g,ARG,HF12 Relationship of self to person 06 ie 06 is self's ...,1,,
arg07,byte,%50.0g,ARG,HF12 Relationship of self to person 07 ie 07 is self's ...,1,,
arg08,byte,%50.0g,ARG,HF12 Relationship of self to person 08 ie 08 is self's ...,1,,
arg09,byte,%50.0g,ARG,HF12 Relationship of self to person 09 ie 09 is self's ...,1,,
arg10,byte,%50.0g,ARG,HF12 Relationship of self to person 10 ie 10 is self's ...,1,,
arg11,byte,%50.0g,ARG,HF12 Relationship of self to person 11 ie 11 is self's ...,1,,
arg12,byte,%50.0g,ARG,HF12 Relationship of self to person 12 ie 12 is self's ...,1,,
arg13,byte,%50.0g,ARG,HF12 Relationship of self to person 13 ie 13 is self's ...,1,,
arg14,byte,%50.0g,ARG,HF12 Relationship of self to person 14 ie 14 is self's ...,1,,
arg15,byte,%50.0g,ARG,HF12 Relationship of self to person 15 ie 15 is self's ...,1,,
arg16,byte,%50.0g,ARG,HF12 Relationship of self to person 16 ie 16 is self's ...,1,,
arg17,byte,%50.0g,ARG,HF12 Relationship of self to person 17 ie 17 is self's ...,1,,
arg18,byte,%50.0g,ARG,HF12 Relationship of self to person 18 ie 18 is self's ...,1,,
arg19,byte,%50.0g,ARG,HF12 Relationship of self to person 19 ie 19 is self's ...,1,,
arg20,byte,%50.0g,ARG,HF12 Relationship of self to person 20 ie 20 is self's ...,1,,
ahgyob,int,%30.0g,ANUM,HF4 Year of Birth,0,,
ahgni,byte,%37.0g,AHGNI,DV: Not interviewed,1,,
ahgint,byte,%30.0g,AHGINT,DV: Interviewed flag,1,,
ahgenum,byte,%30.0g,AHGENUM,DV: Enumerated flag,1,,
ahhwte,double,%12.0g,ANUM,DV: Enumerated person population weight,0,,
arwe1,float,%9.0g,ANUM,DV: Replicate weight 1 - Enumerated person population weight,0,0,
arwe2,float,%9.0g,ANUM,DV: Replicate weight 2 - Enumerated person population weight,0,0,
arwe3,float,%9.0g,ANUM,DV: Replicate weight 3 - Enumerated person population weight,0,0,
arwe4,float,%9.0g,ANUM,DV: Replicate weight 4 - Enumerated person population weight,0,0,
arwe5,float,%9.0g,ANUM,DV: Replicate weight 5 - Enumerated person population weight,0,0,
arwe6,float,%9.0g,ANUM,DV: Replicate weight 6 - Enumerated person population weight,0,0,
arwe7,float,%9.0g,ANUM,DV: Replicate weight 7 - Enumerated person population weight,0,0,
arwe8,float,%9.0g,ANUM,DV: Replicate weight 8 - Enumerated person population weight,0,0,
arwe9,float,%9.0g,ANUM,DV: Replicate weight 9 - Enumerated person population weight,0,0,
arwe10,float,%9.0g,ANUM,DV: Replicate weight 10 - Enumerated person population weight,0,0,
arwe11,float,%9.0g,ANUM,DV: Replicate weight 11 - Enumerated person population weight,0,0,
arwe12,float,%9.0g,ANUM,DV: Replicate weight 12 - Enumerated person population weight,0,0,
arwe13,float,%9.0g,ANUM,DV: Replicate weight 13 - Enumerated person population weight,0,0,
arwe14,float,%9.0g,ANUM,DV: Replicate weight 14 - Enumerated person population weight,0,0,
arwe15,float,%9.0g,ANUM,DV: Replicate weight 15 - Enumerated person population weight,0,0,
arwe16,float,%9.0g,ANUM,DV: Replicate weight 16 - Enumerated person population weight,0,0,
arwe17,float,%9.0g,ANUM,DV: Replicate weight 17 - Enumerated person population weight,0,0,
arwe18,float,%9.0g,ANUM,DV: Replicate weight 18 - Enumerated person population weight,0,0,
arwe19,float,%9.0g,ANUM,DV: Replicate weight 19 - Enumerated person population weight,0,0,
arwe20,float,%9.0g,ANUM,DV: Replicate weight 20 - Enumerated person population weight,0,0,
arwe21,float,%9.0g,ANUM,DV: Replicate weight 21 - Enumerated person population weight,0,0,
arwe22,float,%9.0g,ANUM,DV: Replicate weight 22 - Enumerated person population weight,0,0,
arwe23,float,%9.0g,ANUM,DV: Replicate weight 23 - Enumerated person population weight,0,0,
arwe24,float,%9.0g,ANUM,DV: Replicate weight 24 - Enumerated person population weight,0,0,
arwe25,float,%9.0g,ANUM,DV: Replicate weight 25 - Enumerated person population weight,0,0,
arwe26,float,%9.0g,ANUM,DV: Replicate weight 26 - Enumerated person population weight,0,0,
arwe27,float,%9.0g,ANUM,DV: Replicate weight 27 - Enumerated person population weight,0,0,
arwe28,float,%9.0g,ANUM,DV: Replicate weight 28 - Enumerated person population weight,0,0,
arwe29,float,%9.0g,ANUM,DV: Replicate weight 29 - Enumerated person population weight,0,0,
arwe30,float,%9.0g,ANUM,DV: Replicate weight 30 - Enumerated person population weight,0,0,
arwe31,float,%9.0g,ANUM,DV: Replicate weight 31 - Enumerated person population weight,0,0,
arwe32,float,%9.0g,ANUM,DV: Replicate weight 32 - Enumerated person population weight,0,0,
arwe33,float,%9.0g,ANUM,DV: Replicate weight 33 - Enumerated person population weight,0,0,
arwe34,float,%9.0g,ANUM,DV: Replicate weight 34 - Enumerated person population weight,0,0,
arwe35,float,%9.0g,ANUM,DV: Replicate weight 35 - Enumerated person population weight,0,0,
arwe36,float,%9.0g,ANUM,DV: Replicate weight 36 - Enumerated person population weight,0,0,
arwe37,float,%9.0g,ANUM,DV: Replicate weight 37 - Enumerated person population weight,0,0,
arwe38,float,%9.0g,ANUM,DV: Replicate weight 38 - Enumerated person population weight,0,0,
arwe39,float,%9.0g,ANUM,DV: Replicate weight 39 - Enumerated person population weight,0,0,
arwe40,float,%9.0g,ANUM,DV: Replicate weight 40 - Enumerated person population weight,0,0,
arwe41,float,%9.0g,ANUM,DV: Replicate weight 41 - Enumerated person population weight,0,0,
arwe42,float,%9.0g,ANUM,DV: Replicate weight 42 - Enumerated person population weight,0,0,
arwe43,float,%9.0g,ANUM,DV: Replicate weight 43 - Enumerated person population weight,0,0,
arwe44,float,%9.0g,ANUM,DV: Replicate weight 44 - Enumerated person population weight,0,0,
arwe45,float,%9.0g,ANUM,DV: Replicate weight 45 - Enumerated person population weight,0,0,
ahhwtes,double,%12.0g,ANUM,DV: Enumerated person sample weight,0,0,
abncpeni,int,%30.0g,ANUM,DV: Current weekly Australian Government Pensions ($) [imputed],0,,
abncpari,int,%30.0g,ANUM,DV: Current weekly Australian Government Parenting Payment ($) [imputed],0,,
abncalli,int,%30.0g,ANUM,DV: Current weekly Australian Government Allowances ($) [imputed],0,,
abnconii,int,%30.0g,ANUM,DV: Current weekly non-income support other than family payments ($) [imputed],0,,
abncobi,int,%30.0g,ANUM,DV: Current weekly Australian Government other benefits NEI to classify ($) [imp,0,,
abncisi,int,%30.0g,ANUM,DV: Current weekly Australian Government income support payments ($) [imputed],0,,
abncisf,byte,%30.0g,AIMPFLG,DV: Imputation flag current weekly Australian Government income support payments,1,,
abncapui,int,%30.0g,ANUM,DV: Current weekly Australian public transfers excluding family benefits ($) [im,0,,
abncapuf,byte,%30.0g,AIMPFLG,DV: Imputation flag current weekly Australian public transfers excluding family,1,,
abncobf,byte,%30.0g,AIMPFLG,DV: Imputation flag current Australian Government other benefits NEI to classify,1,,
abncallf,byte,%30.0g,AIMPFLG,DV: Imputation flag current Australian Government Allowances,1,,
abnconif,byte,%30.0g,AIMPFLG,DV: Imputation flag current non-income support other than family payments,1,,
abncparf,byte,%30.0g,AIMPFLG,DV: Imputation flag current Australian Government Parenting Payment,1,,
abncpenf,byte,%30.0g,AIMPFLG,DV: Imputation flag current Australian Government Pensions,1,,
abnfpeni,int,%30.0g,ANUM,DV: Financial year Australian Government Pensions ($) [imputed],0,,
